onset	duration	trial_type	score
7.509	3.243	house	100
13.625	1.822	house	100
16.791	3.187	house	85
23.257	2.074	house	100
29.289	2.655	house	98
33.689	3.06	house	4
39.838	1.794	house	76
45.454	2.409	house	20
50.02	3.825	house	76
57.002	2.062	house	100
60.068	2.592	house	37
65.601	1.973	house	38
68.834	2.112	house	100
72.35	2.68	house	62
79.116	2.458	house	100
84.182	2.984	house	65
89.914	4.258	house	14
96.563	4.919	house	70
105.845	3.393	house	4
113.244	3.844	house	52
120.493	2.292	house	90
124.393	4.502	house	38
129.692	3.73	house	19
134.158	3.73	house	86
138.957	5.801	house	91
148.439	5.501	house	15
154.805	2.671	house	13
159.138	4.091	house	75
165.437	2.151	house	9
171.153	1.8	house	10
176.719	2.459	house	6
182.185	4.493	house	3
191.167	7.982	house	89
203.382	3.254	house	100
208.997	2.275	house	19
213.563	1.929	house	84
216.163	2.065	house	100
220.163	1.6	house	17
225.645	3.01	house	5
229.245	1.783	house	30
235.46	1.731	house	72
239.277	3.672	house	14
246.159	8.682	house	65
255.974	2.995	house	73
261.457	2.374	house	19
265.723	3.209	house	44
272.422	4.026	house	15
276.988	2.768	house	19
282.304	6.863	house	76
293.452	2.376	house	77
297.852	2.706	house	14
304.167	3.796	house	12
309.5	5.488	house	5
319.132	2.996	house	4
323.598	2.268	house	29
329.214	2.462	house	13
333.48	2.158	house	93
338.313	1.551	house	100
341.079	1.367	house	96
345.262	2.153	house	16
