onset	duration	trial_type	score
9.813	3.301	painting	27
14.795	2.93	painting	81
19.678	5.217	painting	65
29.393	3.859	painting	1
35.792	2.811	painting	2
41.758	3.885	painting	41
49.124	3.522	painting	72
55.14	3.355	painting	1
60.906	2.682	painting	48
67.138	2.648	painting	1
71.604	1.895	painting	1
77.853	0.868	painting	24
79.87	5.115	painting	1
86.335	4.596	painting	1
95.167	4.206	painting	80
99.9	3.807	painting	1
104.916	1.958	painting	43
107.816	3.876	painting	1
113.715	2.596	painting	52
118.997	2.883	painting	1
124.097	3.72	painting	1
131.896	3.905	painting	40
136.462	3.017	painting	1
142.694	1.638	painting	1
146.21	2.666	painting	1
150.493	3.015	painting	1
154.576	2.755	painting	1
161.358	1.816	painting	1
167.057	1.953	painting	1
172.09	3.077	painting	17
177.439	2.272	painting	1
181.855	2.892	painting	1
186.155	2.903	painting	71
192.871	2.384	painting	1
199.203	2.497	painting	1
202.969	2.596	painting	1
206.385	2.19	painting	74
213.001	2.577	painting	1
218.384	2.367	painting	70
224.033	3.581	painting	20
230.365	2.847	painting	1
235.298	1.868	painting	35
237.898	2.777	painting	1
244.297	2.048	painting	1
250.029	2.721	painting	16
256.912	2.561	painting	2
261.028	2.591	painting	1
267.377	2.152	painting	1
272.143	3.48	painting	1
278.642	3.348	painting	1
282.991	2.562	painting	9
287.907	2.802	painting	1
292.457	2.738	painting	1
299.489	2.151	painting	1
302.505	2.567	painting	11
308.021	3.071	painting	1
314.437	4.499	painting	1
321.819	5.879	painting	1
329.185	4.486	painting	73
334.268	3.711	painting	26
