onset	duration	trial_type	score
10.393	3.005	food	36
17.759	2.194	food	10
21.959	3.184	food	79
27.958	5.009	food	57
36.24	2.47	food	6
41.856	3.238	food	4
47.038	2.172	food	24
50.671	3.931	food	1
55.754	2.06	food	1
58.487	3.126	food	31
63.353	2.448	food	1
69.752	5.672	food	1
78.034	7.308	food	75
89.632	2.291	food	1
94.248	1.722	food	30
96.831	2.408	food	1
102.181	5.287	food	1
109.546	2.199	food	22
115.845	2.038	food	1
120.162	2.798	food	75
125.711	3.615	food	7
130.877	0.463	food	39
135.026	4.74	food	1
142.308	3.496	food	1
148.291	2.844	food	6
154.89	2.741	food	69
160.989	2.367	food	10
165.572	1.792	food	1
170.988	2.323	food	1
175.987	3.706	food	100
180.503	3.191	food	40
188.169	2.897	food	21
192.335	2.466	food	1
195.734	3.417	food	17
200.567	2.328	food	1
207.116	1.976	food	1
212.565	2.735	food	1
217.181	2.173	food	29
219.948	3.427	food	100
225.18	2.223	food	4
229.013	2.707	food	1
232.463	1.625	food	45
236.979	3.804	food	43
244.794	3.137	food	100
250.077	2.692	food	1
256.926	2.595	food	20
263.958	3.632	food	3
268.791	2.62	food	14
272.407	2.196	food	100
278.156	2.631	food	1
282.456	1.032	food	44
286.905	2.626	food	19
293.421	1.934	food	1
295.887	2.968	food	1
301.936	2.586	food	2
305.852	2.774	food	13
311.035	3.696	food	41
317.751	3.471	food	80
324.433	2.74	food	1
328.233	2.832	food	1
