onset	duration	trial_type	score
7.696	3.137	house	90
12.445	2.736	house	1
17.061	2.607	house	100
23.16	2.52	house	100
29.71	3.709	house	1
37.908	3.559	house	77
44.341	2.4	house	64
48.824	3.055	house	100
55.306	1.857	house	65
59.722	2.902	house	1
65.571	3.748	house	1
70.987	2.623	house	79
77.22	3.37	house	14
81.186	1.629	house	1
85.635	2.512	house	100
88.951	1.778	house	97
93.484	1.839	house	28
97.267	2.369	house	1
101.1	2.41	house	100
107.799	2.191	house	100
111.332	2.184	house	1
114.798	2.534	house	1
121.013	2.444	house	100
127.413	2.473	house	100
133.028	2.314	house	100
138.428	2.623	house	1
143.327	2.166	house	91
146.027	1.961	house	1
149.793	2.158	house	100
153.959	2.334	house	1
158.975	1.882	house	1
164.074	2.692	house	94
167.49	2.227	house	1
170.373	1.918	house	100
176.522	2.831	house	1
183.455	1.486	house	1
188.771	2.823	house	1
193.137	2.041	house	1
198.453	2.376	house	9
201.686	2.208	house	1
204.835	2.433	house	1
209.684	1.986	house	100
215.434	4.339	house	100
222.383	2.698	house	82
226.166	2.206	house	1
232.265	2.562	house	100
239.264	2.306	house	100
242.58	2.361	house	100
247.429	2.346	house	1
251.179	2.541	house	1
255.878	1.729	house	1
259.828	2.033	house	77
265.41	2.251	house	1
268.876	1.971	house	1
275.009	2.538	house	1
279.275	2.086	house	100
285.724	2.115	house	100
290.19	3.224	house	79
296.772	3.669	house	22
303.455	1.701	house	1
