onset	duration	trial_type	score
8.584	2.993	painting	67
14.467	3.162	painting	13
19.316	3.811	painting	73
26.482	3.131	painting	12
30.481	2.059	painting	38
36.631	3.302	painting	6
43.963	7.34	painting	32
54.045	3.421	painting	65
59.611	4.131	painting	14
65.16	4.74	painting	76
72.309	7.421	painting	23
83.207	4.314	painting	1
91.14	4.707	painting	67
98.139	2.053	painting	42
104.538	4.885	painting	52
112.57	4.846	painting	24
121.585	4.013	painting	58
126.535	3.41	painting	6
132.634	4.427	painting	55
140.349	4.636	painting	14
149.198	3.773	painting	9
153.564	6.409	painting	38
164.263	2.933	painting	15
168.212	3.235	painting	1
175.394	4.468	painting	39
180.66	3.987	painting	29
187.259	3.061	painting	40
191.925	3.741	painting	60
199.408	5.631	painting	59
208.94	3.198	painting	8
213.339	4.568	painting	43
220.988	4.811	painting	1
226.871	2.932	painting	46
231.803	4.655	painting	22
237.736	4.689	painting	47
245.235	3.626	painting	22
250.401	3.19	painting	35
255.667	6.309	painting	18
264.449	5.313	painting	46
270.914	4.349	painting	39
277.147	4.019	painting	23
281.696	5.262	painting	31
289.512	3.923	painting	35
297.127	4.199	painting	1
303.677	3.84	painting	1
308.859	3.806	painting	29
315.892	5.532	painting	50
325.24	6.56	painting	25
336.289	4.422	painting	44
343.721	4.218	painting	62
349.753	2.815	painting	64
354.303	4.275	painting	58
361.535	4.955	painting	2
370.034	3.573	painting	41
377.016	6.605	painting	1
385.565	5.811	painting	29
392.864	6.527	painting	3
400.13	5.852	painting	11
406.646	4.395	painting	42
415.461	4.482	painting	53
