onset	duration	trial_type
2.005	2.011	music_25
8.033	2.038	silence
14.088	2.011	speech_31
22.115	2.017	tools_16
28.149	2.035	speech_28
34.198	2.02	animal_24
42.237	2.019	tools_14
48.272	2.007	catch
54.296	2.019	voice_12
62.335	2.017	music_14
68.37	2.019	nature_48
74.404	2.021	speech_30
82.444	2.017	animal_38
88.475	2.021	tools_28
94.511	2.011	voice_22
102.541	2.021	speech_48
108.578	2.025	silence
114.619	2.019	animal_43
122.656	2.019	speech_44
128.69	2.013	music_18
134.719	2.018	tools_45
142.755	2.02	animal_42
148.792	2.019	nature_34
154.827	2.018	tools_18
162.865	2.02	voice_3
168.9	2.018	music_45
174.934	2.011	animal_6
182.965	2.019	nature_36
189.001	2.019	voice_35
195.035	2.02	music_41
203.073	2.018	voice_45
209.109	2.012	speech_20
215.136	2.02	nature_38
223.174	2.009	catch
229.199	2.019	music_5
235.234	2.02	speech_40
243.273	2.019	tools_35
249.307	2.02	nature_22
255.341	2.021	music_29
263.382	2.019	nature_17
269.417	2.021	tools_32
275.453	2.018	animal_40
283.492	2.017	tools_36
289.524	2.014	animal_4
295.554	2.02	nature_2
303.591	2.019	voice_44
309.625	2.021	music_44
315.662	2.008	catch
323.688	2.021	voice_2
329.724	2.018	speech_7
335.758	2.032	silence
343.808	2.019	animal_44
349.842	2.019	music_13
355.876	2.009	catch
363.905	2.018	tools_11
369.939	2.021	animal_3
375.974	2.026	silence
384.019	2.02	tools_27
390.053	2.008	catch
396.077	2.021	speech_23
404.117	2.013	nature_10
410.145	2.019	voice_1
416.179	2.019	speech_42
424.217	2.02	voice_4
430.251	2.019	nature_40
436.285	2.019	music_24
444.322	2.014	nature_5
450.351	2.021	tools_5
456.387	2.02	animal_32
464.424	2.018	speech_34
470.457	2.017	nature_28
476.49	2.019	voice_21
484.527	2.042	silence
490.585	2.021	music_11
496.623	2.009	voice_41
504.651	2.012	animal_35
510.677	2.013	nature_15
516.705	2.017	music_46
524.738	2.012	tools_42
530.765	2.02	voice_20
536.8	2.017	animal_19
544.834	2.013	speech_39
546.856	4.007	fixation
