onset	duration	trial_type
2.006	2.009	speech_43
8.024	2.032	silence
14.066	2.008	tools_43
22.087	2.011	speech_41
28.108	2.01	voice_10
34.126	2.01	speech_6
42.146	2.008	nature_29
48.163	2.009	catch
54.183	2.01	music_15
62.205	2.011	tools_23
68.226	2.009	voice_19
74.245	2.011	music_19
82.267	2.01	voice_28
88.287	2.01	nature_47
94.307	2.01	voice_5
102.33	2.01	nature_23
108.349	2.04	silence
114.398	2.008	voice_18
122.419	2.011	tools_25
128.44	2.01	speech_1
134.46	2.011	voice_14
142.483	2.01	nature_21
148.503	2.011	music_2
154.524	2.011	nature_45
162.547	2.009	speech_45
168.567	2.011	nature_31
174.586	2.012	tools_17
182.61	2.01	music_43
188.632	2.009	animal_26
194.65	2.01	speech_9
202.672	2.009	nature_32
208.691	2.009	music_34
214.709	2.011	animal_11
222.732	2.026	silence
228.768	2.01	tools_38
234.788	2.01	music_4
242.809	2.011	animal_12
248.828	2.009	tools_21
254.846	2.012	speech_19
262.87	2.01	catch
268.89	2.01	animal_30
274.91	2.012	music_21
282.934	2.007	catch
288.95	2.012	voice_40
294.973	2.009	nature_44
302.995	2.01	music_31
309.015	2.011	tools_3
315.037	2.01	animal_33
323.058	2.011	tools_1
329.079	2.009	catch
335.097	2.009	speech_17
343.117	2.011	animal_1
349.14	2.01	tools_41
355.16	2.011	catch
363.181	2.034	silence
369.226	2.012	animal_31
375.249	2.011	music_48
383.272	2.009	voice_26
389.29	2.009	nature_1
395.31	2.01	voice_43
403.332	2.011	nature_43
409.353	2.01	speech_10
415.372	2.009	animal_41
423.392	2.01	music_47
429.412	2.009	animal_37
435.431	2.041	silence
443.484	2.009	voice_33
449.504	2.011	tools_4
455.524	2.01	music_40
463.547	2.01	speech_32
469.568	2.01	animal_46
475.589	2.012	tools_9
483.614	2.009	nature_14
489.634	2.01	voice_38
495.653	2.01	animal_21
503.676	2.011	music_1
509.696	2.01	speech_5
515.717	2.009	voice_30
523.738	2.008	animal_18
529.757	2.009	tools_20
535.777	2.008	speech_3
543.796	2.011	nature_37
545.811	4.005	fixation
