onset	duration	trial_type	score
7.541	4.245	food	16
13.807	5.898	food	1
22.989	6.784	food	27
31.521	5.695	food	100
40.303	5.471	food	1
48.252	4.44	food	100
56.368	5.275	food	1
63.783	3.72	food	1
70.849	9.064	food	90
84.33	5.197	food	18
91.813	3.329	food	100
97.079	5.54	food	28
106.977	4.129	food	100
115.343	3.39	food	1
120.209	3.056	food	100
123.792	2.844	food	100
127.991	3.701	food	84
134.907	6.151	food	52
144.605	2.691	food	48
150.438	3.533	food	100
157.587	6.355	food	84
165.136	2.378	food	100
170.202	4.999	food	1
178.951	5.033	food	27
186.733	5.18	food	89
195.948	3.711	food	90
203.814	5.784	food	87
211.679	3.958	food	1
216.445	3.053	food	100
223.594	3.897	food	1
231.993	5.524	food	91
239.859	5.637	food	95
249.307	6.069	food	47
255.973	3.23	food	100
259.873	4.064	food	97
265.005	3.638	food	28
272.054	4.511	food	1
277.703	3.243	food	100
284.836	4.204	food	88
292.518	2.414	food	100
296.817	3.695	food	1
303.133	4.31	food	92
310.382	6.811	food	52
318.214	3.576	food	1
324.197	3.212	food	1
330.429	2.913	food	100
334.279	5.166	food	88
342.261	2.899	food	100
346.977	1.977	food	100
350.343	2.935	food	100
354.893	5.916	food	51
363.358	3.439	food	1
370.757	5.745	food	83
377.773	7.441	food	80
388.088	4.453	food	87
393.271	4.53	food	68
399.47	4.062	food	93
405.752	4.847	food	91
412.151	3.569	food	92
420.017	4.754	food	54
