onset	duration	trial_type	score
9.955	3.25	painting	100
14.204	4.735	painting	48
19.82	2.121	painting	100
24.62	5.271	painting	49
33.635	3.568	painting	1
38.151	4.722	painting	47
45.15	3.953	painting	100
53.266	7.929	painting	52
64.481	4.315	painting	48
69.597	3.777	painting	54
75.579	3.688	painting	1
81.078	2.702	painting	1
86.261	3.233	painting	100
92.91	5.002	painting	2
101.609	3.374	painting	1
106.258	3.502	painting	1
111.641	7.458	painting	52
121.456	6.335	painting	49
130.405	4.599	painting	1
136.138	5.197	painting	66
143.003	6.283	painting	66
151.036	2.462	painting	1
154.968	2.648	painting	1
160.434	2.722	painting	1
167.25	6.487	painting	14
174.332	4.56	painting	7
183.398	6.102	painting	3
190.563	3.141	painting	1
194.38	2.538	painting	1
199.795	5.979	painting	45
209.661	4.082	painting	1
217.976	5.503	painting	48
227.825	3.582	painting	1
233.824	2.989	painting	1
238.89	4.487	painting	50
246.989	4.046	painting	1
254.055	3.761	painting	1
259.771	5.816	painting	49
268.736	2.58	painting	1
273.469	4.275	painting	100
279.135	3.652	painting	1
286.6	3.02	painting	1
292.966	2.456	painting	1
295.966	3.401	painting	1
300.698	5.208	painting	52
309.947	7.202	painting	1
321.445	3.509	painting	1
327.511	5.333	painting	100
334.86	2.74	painting	1
338.326	3.084	painting	38
342.609	6.14	painting	49
351.508	3.131	painting	1
358.607	4.583	painting	56
364.739	4.302	painting	56
373.472	2.475	painting	1
378.888	3.786	painting	1
386.22	2.816	painting	1
390.636	2.742	painting	1
396.452	8.354	painting	60
408.017	7.895	painting	40
