onset	duration	trial_type	score
9.524	4.237	face	57
15.507	4.376	face	48
23.039	4.48	face	38
32.021	4.951	face	49
38.654	4.874	face	81
47.952	3.741	face	73
52.635	6.975	face	87
62.034	5.752	face	21
70.466	5.5	face	70
78.581	5.062	face	58
86.997	4.497	face	41
94.579	5.393	face	86
101.995	7.024	face	81
111.843	4.06	face	80
119.376	6.127	face	50
127.458	4.312	face	14
135.607	5.811	face	93
144.306	6.899	face	51
153.754	7.378	face	56
165.503	5.838	face	27
172.152	3.824	face	53
178.118	4.778	face	17
184.434	3.244	face	1
188.833	5.861	face	80
197.648	7.032	face	49
208.447	4.202	face	79
216.679	5.217	face	79
222.628	4.365	face	49
231.227	3.743	face	1
235.86	5.337	face	99
245.292	6.153	face	82
254.857	5.785	face	20
261.84	5.978	face	78
270.305	3.208	face	66
274.938	4.384	face	89
281.603	6.875	face	54
291.219	4.052	face	45
295.868	3.559	face	26
301.301	4.117	face	1
309.033	4.606	face	1
314.716	4.934	face	1
322.864	6.583	face	51
333.346	6.19	face	49
343.828	4.928	face	1
350.227	5.679	face	86
357.243	9.643	face	1
368.975	1.97	face	1
371.608	5.915	face	46
378.54	4.76	face	98
387.272	4.698	face	22
394.321	4.703	face	42
402.72	4.829	face	61
409.769	4.17	face	81
415.752	5.358	face	7
425.267	8.618	face	50
436.899	6.301	face	1
444.814	6.626	face	55
452.713	5.279	face	51
458.529	6.463	face	47
468.544	5.428	face	22
