onset	duration	trial_type	score
8.022	1.916	house	87
10.888	2.271	house	100
14.771	2.742	house	100
20.653	2.363	house	94
24.369	3.246	house	82
31.502	3.118	house	95
35.901	3.156	house	54
41.2	2.223	house	98
47.166	4.399	house	94
54.249	5.352	house	81
63.164	3.776	house	34
71.163	2.492	house	77
75.396	2.095	house	87
80.778	3.855	house	92
87.394	3.89	house	88
91.943	3.836	house	73
98.176	3.4	house	100
105.991	3.917	house	28
110.641	3.725	house	82
118.39	2.789	house	99
122.256	3.437	house	92
128.905	3.444	house	87
135.971	4.581	house	80
142.503	4.218	house	91
150.069	2.532	house	71
153.818	3.48	house	67
160.317	3.484	house	100
168.299	3.051	house	71
173.432	3.984	house	59
179.698	3.691	house	85
186.463	2.67	house	100
189.996	3.245	house	94
195.596	5.243	house	75
204.528	2.605	house	79
208.66	4.667	house	66
217.143	3.28	house	38
224.391	6.865	house	98
233.474	5.214	house	86
241.172	2.479	house	73
245.472	5.113	house	84
254.671	6.166	house	92
261.853	2.994	house	86
266.236	7.122	house	88
275.234	4.463	house	96
283.867	2.772	house	98
287.783	5.528	house	89
295.315	3.424	house	87
302.147	3.368	house	54
308.13	3.796	house	83
312.529	3.069	house	83
319.961	5.446	house	73
329.71	4.233	house	84
336.892	2.687	house	96
342.408	3.486	house	77
346.691	3.084	house	42
353.257	5.048	house	6
360.856	5.983	house	45
368.521	6.146	house	30
377.553	4.408	house	45
382.503	5.437	house	81
