onset	duration	trial_type
2.006	2.017	voice_3
8.046	2.023	music_25
14.085	2.012	voice_20
22.116	2.01	animal_32
28.138	2.01	music_5
34.165	2.016	speech_20
42.196	2.01	catch
48.221	2.01	tools_42
54.246	2.021	voice_41
62.284	2.021	nature_15
68.319	2.014	music_24
74.348	2.019	voice_2
82.385	2.014	tools_5
88.413	2.02	animal_40
94.447	2.019	music_46
102.483	2.021	tools_32
108.518	2.012	music_44
114.544	2.009	catch
122.57	2.032	silence
128.616	2.019	animal_4
134.651	2.039	silence
142.706	2.022	nature_22
148.744	2.018	tools_11
154.777	2.021	animal_19
162.815	2.02	voice_1
168.85	2.021	animal_3
174.884	2.021	speech_39
182.923	2.012	nature_34
188.952	2.02	tools_18
194.987	2.019	nature_38
203.024	2.02	voice_21
209.058	2.021	speech_42
215.094	2.02	voice_22
223.13	2.019	tools_45
229.164	2.01	catch
235.188	2.019	nature_36
243.225	2.019	voice_45
249.259	2.021	music_13
255.296	2.031	silence
263.345	2.019	animal_42
269.379	2.02	tools_35
275.414	2.02	speech_48
283.45	2.021	voice_4
289.484	2.014	tools_14
295.511	2.021	nature_17
303.549	2.02	music_29
309.584	2.029	silence
315.628	2.021	nature_5
323.666	2.014	speech_30
329.694	2.02	tools_27
335.729	2.019	animal_35
343.766	2.016	speech_44
349.796	2.022	nature_40
355.832	2.012	catch
363.858	2.036	silence
369.909	2.021	voice_44
375.944	2.022	nature_2
383.982	2.021	voice_35
390.019	2.021	animal_38
396.054	2.02	music_18
404.091	2.021	speech_31
410.125	2.016	nature_10
416.154	2.009	catch
424.18	2.02	music_11
430.215	2.02	speech_34
436.25	2.021	music_45
444.289	2.02	speech_23
450.326	2.025	animal_43
456.366	2.021	tools_28
464.404	2.019	voice_12
470.438	2.021	animal_6
476.475	2.02	nature_28
484.512	2.02	animal_24
490.548	2.016	music_41
496.577	2.02	speech_7
504.614	2.013	tools_36
510.642	2.02	speech_28
516.677	2.02	tools_16
524.713	2.021	speech_40
530.749	2.02	animal_44
536.783	2.022	music_14
544.822	2.022	nature_48
546.853	4.006	fixation
