onset	duration	trial_type	score
8.925	2.23	painting	72
13.641	3.992	painting	83
18.69	4.786	painting	71
24.006	4.805	painting	81
31.622	3.826	painting	100
37.854	6.458	painting	96
46.919	6.484	painting	27
54.668	4.185	painting	68
59.868	7.915	painting	84
71.616	2.281	painting	94
77.798	4.454	painting	72
84.331	1.883	painting	66
87.83	3.162	painting	61
92.946	4.401	painting	85
100.629	3.166	painting	60
104.395	4.028	painting	41
110.694	3.189	painting	32
118.309	3.493	painting	63
123.542	2.558	painting	100
128.775	2.966	painting	72
133.424	5.906	painting	34
142.689	6.937	painting	23
153.988	4.663	painting	83
162.203	9.491	painting	57
175.385	4.245	painting	91
182.85	4.162	painting	91
191.116	4.508	painting	14
197.498	5.559	painting	14
206.014	1.843	painting	86
211.613	7.43	painting	69
222.062	1.807	painting	80
225.061	4.219	painting	16
232.76	4.819	painting	16
241.809	5.45	painting	64
250.408	6.283	painting	25
261.19	2.617	painting	100
265.822	2.074	painting	34
271.855	2.186	painting	68
276.187	3.591	painting	37
280.653	2.056	painting	63
283.436	4.369	painting	100
288.936	6.326	painting	68
295.918	4.8	painting	80
305.017	2.295	painting	100
310.733	4.981	painting	79
318.798	5.095	painting	35
327.914	2.576	painting	76
332.03	1.656	painting	33
335.163	3.491	painting	69
340.062	1.781	painting	100
342.645	2.616	painting	72
347.477	5.91	painting	18
355.743	3.715	painting	88
363.625	5.539	painting	90
370.091	5.414	painting	27
378.257	4.926	painting	92
384.989	4.684	painting	12
391.021	2.914	painting	97
396.821	4.555	painting	89
405.003	2.509	painting	85
