onset	duration	trial_type	score
8.396	2.823	food	89
13.429	1.925	food	100
17.361	4.087	food	89
25.194	2.114	food	83
29.193	2.196	food	97
32.059	3.166	food	94
36.309	3.648	food	39
43.175	2.81	food	100
49.674	4.056	food	98
56.006	5.291	food	88
62.438	1.746	food	92
64.788	2.382	food	100
69.987	3.613	food	100
78.103	3.378	food	87
84.219	3.278	food	95
91.718	3.789	food	96
98.05	4.804	food	1
105.266	2.375	food	86
110.248	2.923	food	94
117.064	3.596	food	69
124.013	3.676	food	73
132.045	2.902	food	63
136.145	5.822	food	87
142.711	1.665	food	100
147.993	2.699	food	96
154.792	3.915	food	92
160.192	1.546	food	90
164.691	3.083	food	94
170.923	4.556	food	71
178.556	2.709	food	95
184.288	8.624	food	1
194.503	2.601	food	91
201.069	2.92	food	85
208.268	3.023	food	96
214.167	1.693	food	92
216.784	4.612	food	1
223.349	5.612	food	1
229.765	5.124	food	80
238.164	3.428	food	70
243.013	4.326	food	83
249.062	4.031	food	83
256.578	2.643	food	78
260.894	2.837	food	61
266.077	1.763	food	83
268.376	3.054	food	84
275.259	3.515	food	73
280.308	4.383	food	78
288.107	4.597	food	80
293.723	3.633	food	82
299.505	7.211	food	39
307.988	3.597	food	80
316.02	5.234	food	85
323.952	2.836	food	82
328.135	3.348	food	67
333.967	3.683	food	92
341.2	4.405	food	90
349.765	4.974	food	91
356.831	3.955	food	94
364.813	2.854	food	100
368.529	5.393	food	90
