onset	duration	trial_type	score
10.852	3.293	house	54
16.552	5.693	house	74
26.334	3.483	house	30
32.633	8.31	house	37
41.815	5.086	house	72
48.564	4.202	house	19
54.38	3.231	house	65
58.696	4.839	house	47
67.078	3.965	house	55
72.794	6.042	house	86
80.093	5.094	house	70
87.108	4.143	house	76
93.391	5.949	house	61
102.423	3.36	house	61
106.922	4.57	house	15
112.488	4.053	house	27
119.087	9.083	house	29
128.969	4.469	house	77
137.201	4.192	house	36
144.134	3.367	house	62
148.433	3.193	house	50
153.166	3.403	house	67
160.582	4.228	house	16
169.03	4.281	house	60
174.713	4.357	house	69
182.362	4.368	house	73
188.594	5.039	house	70
196.66	4.149	house	8
204.425	4.797	house	84
213.041	3.757	house	79
221.223	3.274	house	88
225.172	6.132	house	70
232.771	4.877	house	58
241.07	4.349	house	65
249.569	4.053	house	14
257.985	3.996	house	85
265.134	4.272	house	15
272.349	7.787	house	69
282.748	8.486	house	70
293.713	3.541	house	79
301.129	4.265	house	71
308.278	3.608	house	61
313.96	3.701	house	71
321.342	4.589	house	17
330.408	3.387	house	16
336.007	4.311	house	62
342.123	4.293	house	41
347.005	6.92	house	29
356.604	3.871	house	17
364.436	3.014	house	26
368.802	8.148	house	86
377.685	4.905	house	47
383.117	10.474	house	82
397.082	4.758	house	73
403.848	3.799	house	50
409.93	5.293	house	66
418.446	5.248	house	39
426.028	3.876	house	55
431.11	3.547	house	56
438.009	7.594	house	85
