onset	duration	trial_type	score
10.474	4.155	house	5
18.173	5.657	house	72
26.988	4.347	house	73
32.338	4.398	house	1
40.97	5.517	house	85
47.435	3.805	house	1
54.651	4.112	house	85
59.567	4.122	house	49
66.166	3.324	house	100
70.149	4.963	house	94
77.998	3.051	house	1
82.247	2.27	house	1
85.047	3.993	house	100
92.263	2.412	house	1
97.362	2.084	house	1
102.261	2.36	house	1
106.277	5.276	house	72
115.443	6.156	house	53
125.958	5.542	house	84
132.907	3.707	house	1
138.906	3.06	house	100
143.105	3.656	house	1
150.721	2.849	house	83
156.12	4.638	house	1
162.036	2.824	house	1
167.935	3.96	house	1
176.384	4.996	house	63
183.183	1.877	house	1
186.599	2.042	house	1
190.116	3.623	house	79
194.598	3.336	house	1
200.947	1.588	house	1
205.28	3.829	house	69
210.729	4.031	house	51
219.195	2.014	house	1
224.694	5.82	house	48
232.576	4.606	house	49
239.392	5.39	house	88
247.191	3.976	house	1
251.89	1.654	house	1
257.223	1.793	house	1
260.889	5.817	house	95
267.305	2.122	house	1
271.437	4.068	house	78
279.536	5.234	house	82
287.719	1.473	house	1
293.484	3.986	house	87
301.083	7.613	house	69
310.432	3.521	house	1
317.248	1.848	house	1
321.714	5.46	house	77
329.129	6.197	house	83
339.428	4.057	house	73
347.227	7.484	house	97
357.059	2.214	house	1
363.441	4.482	house	51
369.274	7.595	house	100
377.939	4.674	house	100
385.972	3.655	house	100
391.771	4.202	house	1
