onset	duration	trial_type	score
7.923	5.152	food	55.0
16.821	9.172	food	39.0
30.353	7.442	food	51.0
39.335	4.027	food	73.0
44.651	4.989	food	100.0
50.767	5.088	food	93.0
56.666	4.523	food	18.0
65.281	10.539	food	67.0
77.963	3.818	food	26.0
86.012	3.86	food	84.0
90.478	4.045	food	75.0
97.01	8.105	food	87.0
108.659	4.317	food	72.0
114.591	3.028	food	87.0
118.841	2.397	food	86.0
124.94	3.033	food	49.0
132.256	3.227	food	100.0
138.305	8.353	food	75.0
147.537	4.197	food	85.0
153.153	2.353	food	100.0
159.402	4.466	food	100.0
164.401	9.067	food	44.0
176.899	2.779	food	36.0
180.632	3.27	food	100.0
185.248	5.787	food	43.0
193.647	10.0	food_too-slow	nan
208.645	2.273	food	73.0
213.661	3.938	food	91.0
219.61	3.994	food	45.0
228.042	3.091	food	100.0
233.008	4.024	food	100.0
240.324	5.17	food	1.0
246.223	5.738	food	4.0
255.105	4.27	food	100.0
263.204	4.165	food	1.0
270.32	3.069	food	1.0
275.069	4.654	food	1.0
282.268	3.256	food	1.0
287.751	7.754	food	1.0
297.583	7.009	food	100.0
307.465	3.736	food	96.0
314.214	7.019	food	59.0
324.446	4.095	food	61.0
329.545	6.233	food	51.0
339.744	3.778	food	99.0
346.876	5.994	food	100.0
355.292	6.092	food	100.0
365.873	3.429	food	98.0
372.806	6.27	food	69.0
383.088	4.56	food	1.0
391.287	4.386	food	1.0
397.486	3.423	food	1.0
402.002	2.909	food	1.0
408.001	3.505	food	100.0
413.784	3.492	food	100.0
419.633	6.087	food	1.0
427.465	3.677	food	1.0
435.314	2.372	food	99.0
440.363	4.584	food	1.0
446.896	2.741	food	1.0
450.295	3.198	food	100.0
