onset	duration	trial_type	score
10.732	6.133	painting	78.0
20.548	2.656	painting	72.0
26.68	1.74	painting	64.0
30.829	4.749	painting	69.0
36.579	2.955	painting	77.0
43.078	2.454	painting	46.0
48.76	1.531	painting	35.0
54.509	3.471	painting	93.0
58.926	2.274	painting	100.0
64.008	2.491	painting	100.0
70.241	3.585	painting	100.0
77.24	2.594	painting	100.0
82.039	6.805	painting	76.0
90.988	1.498	painting	71.0
96.57	1.835	painting	72.0
102.769	3.625	painting	80.0
108.469	2.705	painting	100.0
112.585	3.812	painting	21.0
117.134	3.83	painting	18.0
123.25	4.077	painting	78.0
130.282	6.215	painting	83.0
140.931	1.736	painting	72.0
143.264	4.241	painting	14.0
149.863	3.075	painting	100.0
155.429	2.016	painting	100.0
157.978	2.53	painting	100.0
161.844	2.487	painting	100.0
167.61	1.946	painting	46.0
173.176	2.224	painting	79.0
178.142	3.241	painting	13.0
182.842	6.912	painting	98.0
191.757	4.049	painting	79.0
198.423	6.309	painting	3.0
207.821	3.814	painting	77.0
215.787	2.634	painting	53.0
222.303	4.839	painting	11.0
230.152	3.075	painting	76.0
234.434	10.0	painting_too-slow	nan
248.049	3.472	painting	100.0
252.665	2.994	painting	81.0
256.731	2.619	painting	100.0
262.714	1.743	painting	100.0
266.063	2.465	painting	77.0
269.396	2.023	painting	7.0
274.095	1.406	painting	59.0
278.645	2.178	painting	26.0
284.661	2.424	painting	87.0
291.093	2.382	painting	100.0
294.276	2.818	painting	81.0
298.775	2.756	painting	67.0
302.192	2.268	painting	79.0
308.424	2.897	painting	14.0
313.207	3.729	painting	6.0
318.673	3.781	painting	14.0
325.022	1.534	painting	48.0
328.488	8.046	painting	76.0
339.42	1.693	painting	58.0
345.602	2.171	painting	43.0
349.318	3.312	painting	17.0
353.901	3.437	painting	100.0
359.15	3.395	painting	1.0
