onset	duration	trial_type	score
7.787	1.895	food	4
11.236	2.121	food	1
16.302	2.438	food	20
21.152	6.244	food	19
31.484	1.177	food	35
36.216	6.198	food	5
46.715	3.825	food	8
53.097	1.762	food	46
58.83	2.992	food	25
64.046	2.838	food	40
68.345	3.12	food	3
74.611	2.829	food	76
81.593	4.579	food	3
89.192	3.448	food	3
96.991	2.315	food	77
101.04	2.554	food	17
106.273	3.547	food	96
110.423	3.417	food	3
114.372	3.019	food	1
121.621	1.983	food	99
124.671	3.104	food	72
131.52	5.085	food	11
137.952	3.469	food	1
143.901	2.704	food	47
147.267	3.727	food	3
154.866	1.961	food	39
159.432	2.487	food	85
165.198	2.086	food	69
170.914	6.88	food	45
181.146	3.564	food	3
187.928	2.445	food	76
193.794	1.808	food	100
199.427	1.962	food	34
203.193	3.173	food	5
210.059	2.343	food	3
214.475	5.092	food	12
223.59	3.209	food	3
228.473	3.2	food	4
233.555	2.237	food	12
236.738	3.72	food	1
244.954	4.367	food	3
250.936	4.661	food	3
259.085	7.89	food	17
270.05	5.508	food	3
278.382	6.496	food	44
287.631	4.889	food	19
294.88	5.678	food	3
304.995	2.872	food	1
309.078	7.461	food	80
318.827	8.507	food	24
328.075	4.177	food	1
334.275	4.464	food	5
340.69	3.704	food	3
345.523	2.93	food	1
349.256	9.612	food	71
359.738	9.859	food	5
371.736	2.09	food	26
375.086	2.839	food	1
380.801	5.132	food	90
386.951	2.444	food	6
