onset	duration	trial_type	score
7.932	3.153	food	58
12.098	4.874	food	7
18.847	7.802	food	3
28.862	5.576	food	1
37.461	5.725	food	25
46.61	2.249	food	36
51.742	5.037	food	1
60.741	5.25	food	4
68.007	6.551	food	5
75.972	5.466	food	1
83.521	6.36	food	1
92.487	4.178	food	1
99.419	4.133	food	56
106.635	3.862	food	1
114.4	2.292	food	35
120.983	5.764	food	1
128.698	5.213	food	82
138.28	4.331	food	3
145.896	3.963	food	1
150.928	7.502	food	51
160.577	4.096	food	3
167.026	3.701	food	1
174.475	9.789	food	26
187.207	6.026	food	9
197.255	5.792	food	6
204.854	7.056	food	9
212.503	4.009	food	19
217.652	2.403	food	4
221.269	4.353	food	3
228.851	3.015	food	12
234.683	2.981	food	7
241.832	3.329	food	31
247.448	4.052	food	11
253.247	4.702	food	65
259.63	4.891	food	21
268.079	5.374	food	11
277.877	4.989	food	2
286.476	5.093	food	3
294.108	3.142	food	1
298.058	4.715	food	14
303.707	5.297	food	14
311.489	4.105	food	37
316.122	3.417	food	12
324.038	4.43	food	3
331.62	3.021	food	1
336.119	5.177	food	16
345.518	4.28	food	3
353.883	5.497	food	34
362.865	8.323	food	18
371.914	8.863	food	51
384.462	4.672	food	23
389.995	4.901	food	3
397.577	2.249	food	37
400.494	2.517	food	4
404.61	3.282	food	1
410.309	3.284	food	11
417.408	3.785	food	5
422.474	3.288	food	8
427.306	2.96	food	3
433.606	3.645	food	3
