onset	duration	trial_type	score
9.066	2.729	painting	55
16.148	5.216	painting	77
23.914	3.455	painting	83
28.03	4.617	painting	7
33.596	3.869	painting	6
39.478	3.393	painting	47
43.461	4.07	painting	1
51.36	3.726	painting	83
56.626	1.688	painting	67
62.342	6.307	painting	64
70.857	3.288	painting	7
75.956	5.903	painting	61
82.939	3.899	painting	75
88.588	2.856	painting	67
94.454	1.712	painting	60
99.52	4.138	painting	77
104.652	2.808	painting	75
108.202	2.032	painting	68
113.451	3.941	painting	1
120.55	5.255	painting	59
129.966	8.626	painting	51
142.547	3.095	painting	1
148.13	5.542	painting	76
154.212	3.941	painting	45
160.095	3.218	painting	70
164.911	6.86	painting	47
173.659	2.764	painting	84
179.909	5.223	painting	1
186.474	3.367	painting	93
192.79	2.941	painting	32
198.006	5.75	painting	76
206.155	2.155	painting	70
210.454	4.609	painting	1
217.803	3.443	painting	86
225.719	4.742	painting	1
234.001	5.412	painting	10
241.5	5.34	painting	1
249.715	6.953	painting	1
257.948	3.282	painting	19
262.43	3.233	painting	1
269.963	3.314	painting	3
276.695	3.144	painting	1
282.444	6.753	painting	90
293.093	4.066	painting	53
299.509	4.529	painting	84
308.141	2.968	painting	31
311.923	4.625	painting	93
317.406	2.299	painting	1
320.839	3.717	painting	53
327.838	2.742	painting	58
331.987	4.725	painting	1
340.386	3.066	painting	1
346.269	1.676	painting	27
351.035	2.495	painting	1
357.15	7.984	painting	5
366.816	4.133	painting	48
375.365	3.92	painting	14
383.513	1.683	painting	48
386.663	4.387	painting	75
394.812	2.714	painting	27
