onset	duration	trial_type	score
10.986	4.265	house	29
16.185	6.431	house	76
25.501	4.445	house	69
32.633	4.26	house	100
40.915	6.335	house	20
49.197	2.479	house	1
55.096	2.638	house	100
58.329	6.757	house	23
68.894	3.846	house	13
77.027	6.872	house	4
85.292	3.414	house	31
92.458	7.225	house	79
100.473	6.227	house	74
109.172	8.097	house	79
120.754	4.33	house	100
128.103	5.181	house	34
136.035	7.204	house	83
145.317	6.45	house	100
154.866	3.11	house	19
159.648	3.909	house	1
165.831	5.974	house	86
172.68	2.484	house	81
176.713	6.739	house	98
185.861	3.561	house	1
190.494	4.347	house	78
195.977	4.766	house	24
202.076	2.924	house	9
207.558	2.036	house	100
212.541	4.596	house	1
221.09	4.364	house	32
228.805	4.03	house	1
236.388	4.435	house	15
244.037	3.506	house	36
248.219	5.241	house	38
257.151	2.541	house	1
261.434	5.178	house	85
270.233	2.735	house	100
274.166	4.343	house	7
279.782	5.193	house	1
288.264	3.608	house	11
293.346	1.937	house	54
296.029	3.816	house	81
302.062	3.603	house	1
306.195	5.377	house	85
313.377	2.214	house	58
317.46	3.953	house	91
323.426	3.913	house	52
331.241	5.684	house	7
339.74	2.595	house	1
346.422	2.283	house	17
349.705	4.766	house	80
358.621	3.886	house	100
367.003	2.448	house	1
371.602	1.805	house	32
375.752	7.258	house	2
387.233	7.477	house	93
397.332	4.237	house	1
403.181	4.12	house	4
411.663	5.872	house	57
420.695	4.819	house	86
